state,key,value
-,adilabad,8732
-,agra,562
-,ahmedabad,79
-,ahmednagar,241
-,aizawl,389
-,ajmer,145
-,akola,724
-,alappuzha,477
-,aligarh,571
-,alirajpur,7394
-,almora,5962
-,alwar,144
-,ambala,171
-,ambedkar nagar,5271
-,amethi,5368
-,amravati,721
-,amreli,2792
-,amritsar,183
-,anand,2692
-,anantapur,8554
-,anantnag,1932
-,anjaw,3804
-,anugul,6764
-,anuppur,7659
-,araria,6453
-,ariyalur,4329
-,arwal,6337
-,ashok nagar,7543
-,auraiya,5683
-,aurangabad,6186:240
-,azamgarh,5462
-,bagalkot,8354
-,bageshwar,5963
-,bagpat,121
-,bahraich,5252
-,baksa,3627
-,balaghat,7632
-,balangir,6652
-,baleswar,6782
-,ballia,5498
-,balrampur,5263
-,banas kantha,2742
-,banda,5192
-,bandipora,1957
-,bangalore rural,80
-,bangalore urban,80
-,banka,6424
-,bankura,3242
-,banswara,2962
-,barabanki,524
-,baramulla,1952
-,baran,7453
-,bardhaman,342
-,bareilly,581
-,bargarh,6646
-,barmer,2982
-,barnala,1679
-,barpeta,3665
-,barwani,7290
-,bastar,7782
-,basti,5542
-,bathinda,164
-,beed,2442
-,begusarai,6243
-,belgaum,831
-,bellary,8392
-,betul,7141
-,bhadrak,6784
-,bhagalpur,641
-,bhandara,7184
-,bharatpur,5644
-,bharuch,2642
-,bhavnagar,278
-,bhilwara,1482
-,bhind,7543
-,bhiwani,1664
-,bhojpur,6182
-,bhopal,755
-,bidar,8482
-,bijapur,7853:8352
-,bijnor,1342
-,bikaner,151
-,bilaspur,7752:1978
-,birbhum,3462
-,bishnupur,3879
-,bokaro,6549
-,bongaigaon,3664
-,boudh,6841
-,budaun,5832
-,budgam,1951
-,bulandshahr,5732
-,buldana,7232
-,bundi,747
-,burhanpur,7325
-,buxar,6183
-,cachar,3842
-,central delhi,11
-,chamba,1899
-,chamoli,1372
-,champawat,5965
-,champhai,3831
-,chamrajnagar,8226
-,chandauli,5412
-,chandel,3872
-,chandrapur,7172
-,changlang,3808
-,chatra,6541
-,chennai,44
-,chhatarpur,7682
-,chhindwara,7162
-,chickmagalur,8262
-,chirang,3664
-,chitradurga,8194
-,chitrakoot,5198
-,chittoor,8572
-,chittorgarh,1472
-,churachandpur,3874
-,churu,1562
-,coimbatore,422
-,cooch behar,3582
-,cuddalore,4122
-,cuttack,671
-,dakshin kannada,824
-,damoh,7812
-,dangs,2631
-,dantewada,7856
-,darbhanga,6272
-,darjeeling,354
-,darrang,3713
-,datia,7522
-,dausa,1427
-,davangere,8192
-,dehradun,135
-,deogarh,6641
-,deoghar,6432
-,deoria,5568
-,dewas,7272
-,dhalai,3826
-,dhamtari,7722
-,dhanbad,326
-,dhar,7292
-,dharmapuri,4342
-,dharwad,836
-,dhemaji,3753
-,dhenkanal,6762
-,dholpur,5642
-,dhubri,3662
-,dhule,2562
-,dibang valley,3801
-,dibrugarh,373
-,dimapur,3862
-,dindigul,451
-,dindori,7644
-,doda,1996
-,dohad,2673
-,dumka,6434
-,dungarpur,2964
-,durg,788
-,east champaran (motihari),6252
-,east delhi,11
-,east garo hills,3658
-,east godavari,884
-,east kameng,3787
-,east khasi hills,364
-,east medinipur,3228
-,east siang,368
-,east singhbhum,6585
-,ernakulam,484
-,erode,424
-,etah,5742
-,etawah,5688
-,faizabad,5278
-,faridabad,129
-,faridkot,1639
-,farrukhabad,5692
-,fatehabad,1667
-,fatehgarh sahib,1763
-,fatehpur,5180
-,ferozepur,1632
-,firozabad,5612
-,gadag,8372
-,gadchiroli,7132
-,gajapati,6815
-,gandhinagar,79
-,ganjam,6811
-,garhwa,6561
-,gautam buddha nagar,120
-,gaya,631
-,ghaziabad,120
-,ghazipur,548
-,giridih,6532
-,goalpara,3663
-,godda,6422
-,golaghat,3774
-,gonda,5262
-,gondia,7182
-,gopalganj,6156
-,gorakhpur,551
-,gulbarga,8472
-,gumla,6524
-,guna,7542
-,guntur,563
-,gurdaspur,1874
-,gurugram,124
-,gwalior,751
-,hailakandi,3844
-,hamirpur,1972:5282
-,hanumangarh,1552
-,harda,7577
-,hardoi,5852
-,haridwar,1334
-,hassan,8172
-,hathras,5722
-,haveri,8375
-,hazaribag,6546
-,hingoli,2456
-,hisar,1662
-,hooghly,33
-,hoshangabad,7574
-,hoshiarpur,1882
-,howrah,33
-,hyderabad,40
-,idukki,4862
-,imphal east,385
-,imphal west,385
-,indore,731
-,jabalpur,761
-,jagatsinghapur,6724
-,jaintia hills,3652
-,jaipur,141
-,jaisalmer,2992
-,jajpur,6728
-,jalandhar,181
-,jalaun,5162
-,jalgoan,257
-,jalna,2482
-,jalor,2973
-,jalpaiguri,3561
-,jammu,191
-,jamnagar,288
-,jamtara,6433
-,jamui,6345
-,janjgir-champa,7817
-,jashpur,7763
-,jaunpur,5452
-,jehanabad,6114
-,jhabua,7392
-,jhajjar,1251
-,jhalawar,7432
-,jhansi,517
-,jharsuguda,6645
-,jhunjhunu,1592
-,jind,1681
-,jodhpur,291
-,jorhat,376
-,junagadh,285
-,jyotiba phule nagar,5922
-,kaimur (bhabua),6189
-,kaithal,1746
-,kalahandi,6670
-,kamrup,3621
-,kamrup metropolitan,361
-,kancheepuram,44
-,kandhamal,6842
-,kangra,1892
-,kanker,7868
-,kannauj,5694
-,kanniyakumari,4652
-,kannur,497
-,kanpur dehat,5111
-,kanpur nagar,512
-,kapurthala,1822
-,karaikal,4368
-,karauli,7464
-,karbi anglong,3671
-,kargil,1985
-,karimganj,3843
-,karimnagar,8722
-,karnal,184
-,karur,4324
-,kasargod,4994
-,kasganj,5744
-,kathua,1922
-,katihar,6452
-,katni,7622
-,kaushambi,5331
-,kawardha,7741
-,kendrapara,6727
-,kendujhar,6766
-,khagaria,6244
-,khammam,8742
-,khandwa,733
-,khargone (west nimar),7282
-,kheda,268
-,khordha,6755
-,kinnaur,1786
-,kiphire,3863
-,kishanganj,6456
-,kishtwar,1995
-,kodagu,8272
-,koderma,6534
-,kohima,370
-,kokrajhar,3661
-,kolar,8152
-,kolasib,3837
-,kolhapur,231
-,kollam,474
-,koppal,8539
-,koraput,6852
-,korba,7759
-,korea,7836
-,kota,744
-,kottayam,481
-,kozhikode,495
-,krishna,8672
-,krishnagiri,4343
-,kulgam,1931
-,kullu,1902
-,kupwara,1955
-,kurnool,8518
-,kurukshetra,1744
-,kurung kumey,3788
-,kushinagar,5564
-,kutch,2832
-,lahaul & spiti,1900
-,lakhimpur,3752
-,lakhimpur kheri,5872
-,lakhisarai,6346
-,lalitpur,5176
-,latehar,6565
-,latur,2382
-,lawngtlai,3835
-,leh,1982
-,lohardaga,6526
-,lohit,3804
-,longleng,3869
-,lower dibang valley,3801
-,lower subansiri,3788
-,lucknow,522
-,ludhiana,161
-,lunglei,372
-,madhepura,6476
-,madhubani,6276
-,madurai,452
-,maharajganj,5523
-,mahasamund,7723
-,mahbubnagar,8542
-,mahe,490
-,mahendragarh,1282
-,mahesana,2762
-,mahoba,5281
-,mainpuri,5672
-,malappuram,483
-,malda,3512
-,malkangiri,6861
-,mamit,389
-,mandi,1905
-,mandla,7642
-,mandsaur,7422
-,mandya,82332
-,mansa,1652
-,marigaon,3678
-,mathura,565
-,mau,547
-,mayurbhanj,6792
-,medak,911
-,meerut,121
-,mewat,1267
-,mirzapur,5442
-,moga,1636
-,mokokchung,369
-,mon,3869
-,moradabad,591
-,morena,7532
-,muktsar,1633
-,mumbai (sub-urban),22
-,mumbai city,22
-,munger,6344
-,murshidabad,3482
